employeeid,age,gender,department,jobrole,monthlyincome,yearsatcompany,distancefromhome,overtime,martialstatus,educationfield,jobsatisfaction,environmentstatiafaction,attrition
3083,22,Male,IT,Software Engineer,4265,4,5,No,Single,Marketing,3,1,No
3084,36,Male,Human Resources,Recruiter,6315,10,4,No,Single,Medical,3,2,No
3085,34,Male,Finance,Finance Manager,5776,5,33,No,Married,Life Sciences,2,1,No
3086,33,Female,Operations,Operations Manager,4658,2,19,Yes,Single,Medical,1,2,No
3087,36,Male,Finance,Financial Analyst,3415,4,12,Yes,Divorced,Life Sciences,3,1,No
3088,40,Female,Operations,Operations Analyst,5434,7,2,No,Married,Other,3,1,No
3089,59,Female,Sales,Sales Executive,3797,5,20,Yes,Single,Life Sciences,2,3,No
3090,25,Female,IT,Software Engineer,6802,7,17,Yes,Married,Life Sciences,3,2,No
3091,57,Female,IT,BI Analyst,5883,9,28,No,Single,Medical,2,4,No
3092,25,Male,Human Resources,HR Executive,6343,0,11,Yes,Divorced,Medical,2,1,No
3093,23,Male,Research & Development,Research Scientist,4351,5,11,No,Divorced,Other,3,1,No
3094,55,Male,Operations,Operations Analyst,7150,7,24,No,Single,Life Sciences,4,3,No
3095,54,Male,Sales,Account Manager,6784,5,14,Yes,Married,Technical Degree,2,1,No
3096,31,Female,Operations,Coordinator,5208,10,15,Yes,Divorced,Technical Degree,4,2,No
3097,22,Male,Human Resources,HR Manager,5899,3,14,No,Divorced,Life Sciences,1,1,No
3098,20,Male,Finance,Accountant,3820,0,16,No,Single,Life Sciences,1,1,No
3099,34,Male,Research & Development,Laboratory Technician,3428,0,32,No,Married,Other,4,1,No
3100,21,Female,Finance,Accountant,4320,3,10,No,Divorced,Technical Degree,4,3,No
3101,31,Female,Sales,Sales Representative,3433,3,13,Yes,Divorced,Other,4,1,No
3102,60,Male,Sales,Account Manager,9990,15,2,Yes,Divorced,Other,3,4,No
3103,45,Female,Research & Development,Research Scientist,6148,1,1,No,Divorced,Other,4,1,No
3104,43,Female,IT,System Administrator,5155,4,14,Yes,Single,Life Sciences,2,2,No
3105,38,Female,Operations,Coordinator,4458,5,5,Yes,Divorced,Life Sciences,1,4,No
3106,29,Female,Research & Development,Research Scientist,6401,9,2,Yes,Married,Other,3,2,No
3107,52,Female,Human Resources,Recruiter,3434,4,30,Yes,Divorced,Life Sciences,2,2,No
3108,27,Female,Finance,Financial Analyst,2530,2,36,No,Divorced,Marketing,2,3,No
3109,57,Female,Sales,Sales Executive,4064,6,14,Yes,Divorced,Medical,4,1,No
3110,49,Male,Research & Development,Laboratory Technician,6644,4,26,Yes,Single,Medical,4,2,No
3111,33,Female,Sales,Sales Representative,6461,10,24,No,Married,Technical Degree,3,4,No
3112,45,Male,Human Resources,HR Manager,7505,5,26,No,Married,Life Sciences,3,1,No
3113,24,Female,Finance,Financial Analyst,5106,6,11,No,Married,Technical Degree,3,3,Yes
3114,50,Female,Human Resources,Recruiter,4472,0,8,No,Married,Life Sciences,1,1,No
3115,25,Male,Research & Development,Data Analyst,4992,7,5,No,Married,Other,2,4,No
3116,42,Male,Sales,Sales Representative,5313,7,5,Yes,Divorced,Other,2,4,Yes
3117,19,Female,Operations,Coordinator,1500,1,18,No,Married,Marketing,3,3,Yes
3118,33,Female,Finance,Finance Manager,6413,5,32,No,Single,Marketing,3,2,No
3119,35,Female,Research & Development,Laboratory Technician,4813,3,37,No,Divorced,Technical Degree,3,3,No
3120,32,Female,Sales,Sales Executive,4932,2,39,Yes,Divorced,Medical,1,1,Yes
3121,51,Male,Research & Development,Research Scientist,4122,5,9,No,Divorced,Technical Degree,4,3,No
3122,51,Female,Research & Development,Laboratory Technician,7864,11,38,Yes,Divorced,Technical Degree,3,1,Yes
3123,34,Male,IT,Software Engineer,5347,3,24,Yes,Divorced,Life Sciences,1,4,Yes
3124,34,Female,Finance,Finance Manager,6770,8,34,Yes,Divorced,Marketing,2,3,Yes
3125,47,Female,Operations,Operations Manager,5207,0,12,Yes,Divorced,Marketing,1,4,No
3126,25,Female,IT,System Administrator,4320,3,17,No,Divorced,Technical Degree,2,3,No
3127,26,Male,Human Resources,Recruiter,6362,8,28,Yes,Married,Marketing,4,3,Yes
3128,25,Female,Sales,Sales Executive,2353,4,14,No,Married,Technical Degree,1,4,No
3129,38,Female,Human Resources,HR Manager,5135,11,8,Yes,Divorced,Medical,2,3,No
3130,35,Male,Research & Development,Laboratory Technician,3852,1,4,No,Married,Life Sciences,1,1,No
3131,57,Male,Sales,Sales Executive,7677,11,26,No,Divorced,Medical,3,4,Yes
3132,37,Male,Human Resources,HR Manager,5619,5,12,No,Married,Marketing,1,3,No
3133,58,Female,IT,Software Engineer,4917,3,35,Yes,Divorced,Marketing,4,2,No
3134,54,Female,Operations,Operations Manager,6662,6,9,Yes,Married,Technical Degree,2,1,Yes
3135,48,Male,Finance,Finance Manager,6842,9,34,Yes,Divorced,Life Sciences,1,3,No
3136,51,Male,Finance,Financial Analyst,5890,4,32,No,Single,Technical Degree,1,1,Yes
3137,34,Male,Human Resources,Recruiter,3951,5,7,No,Single,Other,4,1,No
3138,37,Male,Human Resources,HR Executive,5101,4,12,No,Married,Technical Degree,2,3,No
3139,49,Male,IT,BI Analyst,6029,9,31,No,Divorced,Medical,1,1,No
3140,24,Male,Research & Development,Laboratory Technician,4318,1,36,Yes,Single,Technical Degree,1,1,No
3141,57,Male,IT,Software Engineer,5723,6,2,No,Divorced,Technical Degree,4,4,No
3142,53,Female,Operations,Operations Analyst,7472,9,5,Yes,Married,Technical Degree,3,4,No
3143,26,Female,Operations,Coordinator,4010,3,13,Yes,Single,Other,1,1,No
3144,20,Female,Sales,Sales Representative,5088,1,34,Yes,Divorced,Technical Degree,4,1,No
3145,28,Male,IT,Software Engineer,6121,10,37,Yes,Married,Other,4,1,No
3146,45,Male,Research & Development,Data Analyst,7010,5,27,No,Divorced,Technical Degree,3,4,No
3147,35,Male,Finance,Accountant,6523,8,29,No,Married,Technical Degree,4,3,No
3148,23,Female,Operations,Operations Manager,5064,1,38,Yes,Married,Technical Degree,1,4,No
3149,30,Male,Sales,Sales Executive,3139,2,10,No,Single,Technical Degree,3,2,No
3150,32,Female,Finance,Finance Manager,4297,4,25,Yes,Married,Medical,2,2,No
3151,32,Female,Human Resources,Recruiter,3520,5,30,Yes,Single,Technical Degree,1,1,Yes
3152,50,Female,Sales,Sales Representative,7603,9,18,No,Married,Technical Degree,2,2,No
3153,53,Female,Research & Development,Laboratory Technician,5174,0,4,Yes,Single,Technical Degree,4,1,No
3154,31,Male,Finance,Finance Manager,5528,2,28,Yes,Single,Marketing,2,4,Yes
3155,43,Male,IT,System Administrator,5284,5,9,Yes,Married,Medical,2,4,Yes
3156,24,Male,IT,Software Engineer,6704,5,31,Yes,Single,Other,2,2,No
3157,59,Female,Human Resources,HR Executive,4979,1,14,Yes,Single,Marketing,3,1,Yes
3158,25,Male,Research & Development,Research Scientist,6609,7,26,Yes,Single,Marketing,3,3,No
3159,18,Male,IT,BI Analyst,3365,0,29,No,Divorced,Other,4,2,No
3160,41,Female,Operations,Coordinator,6122,9,37,Yes,Divorced,Life Sciences,4,4,No
3161,42,Female,Operations,Coordinator,6490,10,20,No,Divorced,Medical,3,3,No
3162,52,Female,Finance,Finance Manager,6567,4,28,Yes,Single,Marketing,4,2,No
3163,46,Male,Research & Development,Data Analyst,3304,4,40,Yes,Married,Medical,4,3,No
3164,58,Female,IT,Software Engineer,5492,3,40,Yes,Divorced,Other,2,4,No
3165,23,Male,Operations,Operations Analyst,5383,5,11,No,Divorced,Other,1,2,No
3166,44,Male,IT,BI Analyst,5120,11,2,No,Married,Life Sciences,3,1,No
3167,59,Male,Finance,Finance Manager,4653,4,30,No,Married,Technical Degree,1,4,No
3168,54,Female,Sales,Sales Representative,5350,5,36,No,Divorced,Other,2,2,Yes
3169,32,Female,Operations,Operations Analyst,5466,8,10,No,Married,Medical,2,3,Yes
3170,54,Male,Human Resources,Recruiter,5445,6,19,No,Divorced,Technical Degree,2,4,No
3171,57,Female,IT,System Administrator,4363,2,13,No,Married,Marketing,3,1,No
3172,59,Male,Finance,Finance Manager,5051,5,31,No,Divorced,Technical Degree,2,1,No
3173,23,Female,Sales,Sales Executive,5340,5,14,Yes,Divorced,Technical Degree,2,4,Yes
3174,40,Male,Operations,Operations Analyst,6527,4,12,No,Divorced,Medical,4,2,No
3175,35,Male,IT,System Administrator,3384,1,26,Yes,Single,Other,1,4,Yes
3176,37,Male,IT,Software Engineer,7004,17,29,No,Divorced,Medical,4,1,No
3177,53,Female,Human Resources,Recruiter,4881,0,40,Yes,Divorced,Marketing,4,3,Yes
3178,57,Female,Finance,Financial Analyst,3717,0,7,Yes,Married,Marketing,2,4,No
3179,18,Female,IT,Software Engineer,2146,0,16,No,Married,Technical Degree,3,4,No
3180,49,Male,Human Resources,Recruiter,2200,0,36,Yes,Divorced,Marketing,2,4,Yes
3181,60,Male,IT,Software Engineer,7599,9,23,No,Divorced,Medical,4,4,No
3182,46,Female,Human Resources,HR Manager,5569,3,29,No,Single,Marketing,1,2,No
3183,50,Male,IT,System Administrator,8894,11,26,No,Divorced,Marketing,2,1,Yes
3184,50,Male,Research & Development,Research Scientist,2488,5,39,No,Married,Medical,3,4,No
3185,34,Male,Research & Development,Laboratory Technician,3987,2,8,No,Single,Marketing,3,2,No
3186,46,Female,Research & Development,Data Analyst,4774,4,14,Yes,Married,Technical Degree,1,1,No
3187,18,Female,Finance,Accountant,5529,0,31,No,Married,Technical Degree,1,2,No
3188,55,Male,Finance,Finance Manager,6568,5,6,Yes,Single,Life Sciences,1,4,No
3189,54,Female,Sales,Sales Executive,5827,7,36,No,Divorced,Other,3,3,No
3190,58,Female,Operations,Operations Analyst,6336,9,8,Yes,Divorced,Other,1,3,Yes
3191,26,Male,Research & Development,Laboratory Technician,4273,8,7,No,Divorced,Marketing,4,1,No
3192,28,Male,Sales,Sales Executive,4598,3,34,No,Single,Life Sciences,4,2,Yes
3193,47,Male,Human Resources,Recruiter,7271,7,36,Yes,Married,Life Sciences,1,3,No
3194,55,Male,IT,BI Analyst,3543,5,24,Yes,Married,Marketing,2,4,Yes
3195,55,Female,Sales,Account Manager,7155,9,6,Yes,Divorced,Technical Degree,4,4,Yes
3196,18,Female,Sales,Account Manager,3995,0,11,No,Single,Technical Degree,2,2,No
3197,56,Male,Operations,Operations Analyst,3202,0,38,No,Single,Medical,1,2,Yes
3198,54,Female,Research & Development,Laboratory Technician,5471,2,3,No,Single,Life Sciences,2,2,No
3199,22,Female,Research & Development,Laboratory Technician,3457,4,34,No,Married,Medical,4,3,No
3200,18,Male,Human Resources,HR Manager,2279,0,5,No,Married,Medical,4,1,No
3201,21,Female,Operations,Operations Analyst,3773,3,28,No,Married,Life Sciences,3,1,No
3202,45,Male,Sales,Account Manager,5605,4,8,Yes,Divorced,Medical,1,1,No
3203,32,Female,IT,BI Analyst,7604,8,21,Yes,Divorced,Other,1,2,No
3204,26,Male,IT,BI Analyst,5617,5,15,Yes,Married,Marketing,4,2,No
3205,50,Female,IT,BI Analyst,5218,4,7,Yes,Divorced,Life Sciences,1,4,No
3206,40,Male,Human Resources,HR Executive,5632,7,10,Yes,Single,Technical Degree,1,1,Yes
3207,35,Female,Sales,Sales Representative,4397,0,17,Yes,Single,Other,1,3,No
3208,49,Male,Operations,Coordinator,4933,7,36,Yes,Married,Technical Degree,3,1,No
3209,54,Female,Human Resources,Recruiter,5771,0,1,No,Divorced,Life Sciences,1,4,No
3210,47,Male,Research & Development,Data Analyst,5475,7,28,No,Divorced,Other,3,4,No
3211,59,Female,Human Resources,HR Manager,3263,1,10,Yes,Single,Marketing,4,3,Yes
3212,19,Female,IT,BI Analyst,4415,1,29,No,Single,Marketing,3,4,No
3213,52,Male,Operations,Coordinator,5361,3,25,No,Divorced,Marketing,4,4,No
3214,36,Female,Sales,Sales Representative,6301,2,8,No,Married,Technical Degree,2,4,No
3215,18,Female,Human Resources,HR Manager,3440,0,39,Yes,Married,Life Sciences,4,2,Yes
3216,26,Female,Finance,Accountant,1608,3,13,No,Divorced,Other,4,1,Yes
3217,56,Female,Finance,Finance Manager,2392,0,8,No,Married,Technical Degree,4,1,Yes
3218,49,Female,Finance,Finance Manager,5108,6,5,No,Married,Medical,1,2,No
3219,38,Female,Operations,Operations Analyst,3662,0,13,Yes,Single,Marketing,3,2,No
3220,18,Female,Finance,Financial Analyst,4633,0,5,No,Single,Life Sciences,3,4,No
3221,27,Male,Sales,Sales Representative,3846,0,22,Yes,Single,Medical,3,2,No
3222,41,Male,IT,System Administrator,5082,0,40,No,Married,Medical,1,3,No
3223,25,Female,Research & Development,Data Analyst,4672,7,38,Yes,Married,Medical,1,2,No
3224,59,Female,Human Resources,HR Manager,3946,2,35,Yes,Divorced,Medical,3,1,No
3225,58,Male,Research & Development,Data Analyst,4403,0,20,No,Single,Life Sciences,4,2,No
3226,27,Male,Finance,Finance Manager,6164,4,32,Yes,Divorced,Life Sciences,1,2,No
3227,54,Female,Sales,Account Manager,3507,1,11,No,Married,Technical Degree,2,3,No
3228,31,Female,IT,System Administrator,2794,0,29,No,Married,Medical,3,4,No
3229,50,Female,Operations,Operations Manager,5445,1,10,Yes,Married,Marketing,2,4,No
3230,38,Female,Research & Development,Data Analyst,4899,3,5,Yes,Divorced,Other,3,1,No
3231,39,Female,IT,Software Engineer,3476,4,22,Yes,Single,Other,2,3,No
3232,48,Female,Research & Development,Data Analyst,5968,5,29,Yes,Married,Technical Degree,1,3,No
3233,20,Female,Finance,Finance Manager,5220,1,21,Yes,Single,Medical,4,3,Yes
3234,31,Female,Finance,Accountant,3920,2,36,Yes,Divorced,Medical,2,4,Yes
3235,43,Female,Operations,Operations Analyst,5203,8,31,Yes,Divorced,Life Sciences,1,1,Yes
3236,18,Female,Human Resources,HR Executive,3622,0,6,Yes,Married,Marketing,1,4,Yes
3237,37,Male,IT,System Administrator,2643,6,18,No,Single,Life Sciences,4,3,No
3238,24,Male,IT,System Administrator,4739,0,15,Yes,Married,Other,3,2,No
3239,45,Male,Research & Development,Data Analyst,5407,10,2,No,Divorced,Medical,1,1,No
3240,36,Female,Human Resources,HR Executive,5603,5,35,No,Divorced,Technical Degree,4,3,No
3241,51,Male,Operations,Coordinator,3566,8,4,Yes,Single,Marketing,4,4,No
3242,56,Male,Research & Development,Laboratory Technician,4100,2,28,No,Divorced,Medical,2,4,No
3243,20,Male,Human Resources,HR Manager,7498,2,11,Yes,Single,Medical,2,1,No
3244,53,Female,Human Resources,Recruiter,3561,5,19,Yes,Single,Life Sciences,4,1,No
3245,51,Female,Operations,Coordinator,7335,7,20,Yes,Married,Technical Degree,4,4,No
3246,32,Female,Finance,Financial Analyst,4412,6,23,No,Single,Life Sciences,4,4,No
3247,26,Male,Finance,Accountant,6796,8,12,Yes,Single,Other,2,1,No
3248,44,Male,Research & Development,Data Analyst,4707,1,29,Yes,Married,Marketing,4,3,No
3249,31,Female,Research & Development,Data Analyst,7668,9,24,Yes,Divorced,Medical,1,3,No
3250,43,Female,Sales,Sales Representative,4820,5,35,No,Single,Life Sciences,1,3,No
3251,34,Male,Human Resources,HR Manager,5047,10,38,Yes,Single,Other,3,3,No
3252,24,Male,Finance,Accountant,3855,6,8,Yes,Married,Medical,3,2,No
3253,48,Female,Operations,Operations Analyst,6190,10,25,Yes,Divorced,Other,3,2,Yes
3254,39,Female,Operations,Operations Manager,7339,11,37,No,Single,Life Sciences,3,3,No
3255,30,Female,Finance,Finance Manager,5959,1,13,Yes,Married,Other,2,4,No
3256,47,Female,Finance,Accountant,8058,12,32,No,Divorced,Medical,4,4,No
3257,22,Female,IT,System Administrator,4132,2,32,Yes,Divorced,Life Sciences,3,1,No
3258,19,Male,Research & Development,Data Analyst,3405,1,32,No,Single,Medical,2,4,No
3259,49,Male,Sales,Account Manager,7173,12,2,No,Single,Life Sciences,1,3,Yes
3260,39,Male,IT,Software Engineer,4407,0,19,No,Divorced,Medical,1,3,No
3261,57,Male,Human Resources,Recruiter,4910,4,38,Yes,Single,Life Sciences,1,3,No
3262,24,Male,IT,System Administrator,5968,4,39,No,Married,Other,3,4,No
3263,48,Female,Sales,Sales Representative,6839,10,30,Yes,Married,Medical,1,4,No
3264,55,Male,Research & Development,Research Scientist,4950,4,12,No,Married,Medical,1,1,No
3265,29,Female,Research & Development,Data Analyst,4537,6,37,Yes,Single,Marketing,3,4,No
3266,24,Male,IT,System Administrator,6052,6,40,No,Single,Technical Degree,3,4,No
3267,39,Male,Sales,Sales Executive,8506,12,32,No,Divorced,Medical,1,4,No
3268,55,Female,Finance,Financial Analyst,5734,3,33,No,Single,Life Sciences,3,4,No
3269,56,Female,IT,System Administrator,5335,2,33,No,Married,Other,2,3,No
3270,30,Male,Research & Development,Data Analyst,3522,3,32,No,Single,Technical Degree,3,3,No
3271,49,Female,Finance,Accountant,2540,7,17,No,Divorced,Technical Degree,3,4,No
3272,57,Female,Finance,Accountant,3787,0,6,No,Married,Medical,3,4,No
3273,38,Female,Finance,Accountant,5056,6,2,Yes,Single,Technical Degree,2,3,No
3274,18,Female,IT,BI Analyst,3018,0,15,No,Married,Life Sciences,4,3,No
3275,53,Male,Human Resources,Recruiter,6448,7,24,Yes,Divorced,Medical,4,1,Yes
3276,43,Female,IT,System Administrator,6638,5,16,Yes,Divorced,Technical Degree,2,1,No
3277,20,Female,Operations,Coordinator,3603,2,15,No,Single,Life Sciences,1,4,No
3278,40,Female,Human Resources,HR Executive,3316,4,12,Yes,Single,Marketing,4,2,Yes
3279,44,Female,Operations,Operations Analyst,6584,5,38,No,Single,Medical,2,4,No
3280,35,Male,Finance,Accountant,7682,8,28,No,Single,Medical,3,4,No
3281,30,Male,Research & Development,Laboratory Technician,6615,4,22,No,Single,Other,3,1,No
3282,23,Male,Sales,Sales Executive,7015,5,28,Yes,Married,Other,2,4,Yes
3283,25,Female,IT,System Administrator,6098,5,38,No,Married,Other,3,3,No
3284,30,Female,Research & Development,Data Analyst,6517,11,6,Yes,Married,Medical,1,4,No
3285,41,Male,Finance,Finance Manager,7046,6,22,No,Married,Medical,4,2,No
3286,19,Female,Research & Development,Laboratory Technician,2664,1,28,No,Single,Technical Degree,4,3,Yes
3287,25,Male,Operations,Coordinator,5186,7,26,Yes,Single,Other,2,2,Yes
3288,47,Male,Research & Development,Laboratory Technician,6887,6,7,No,Single,Technical Degree,3,3,No
3289,18,Male,IT,System Administrator,2790,0,38,No,Single,Technical Degree,1,4,No
3290,19,Male,Human Resources,HR Executive,2098,1,32,No,Married,Other,3,1,No
3291,59,Male,IT,BI Analyst,5294,4,33,No,Single,Medical,4,3,No
3292,31,Female,Human Resources,Recruiter,3147,4,1,No,Married,Other,3,3,Yes
3293,21,Male,Research & Development,Data Analyst,4874,3,29,Yes,Divorced,Technical Degree,2,1,No
3294,23,Female,Human Resources,HR Executive,4937,5,40,No,Married,Marketing,4,3,No
3295,60,Male,IT,BI Analyst,4823,2,13,No,Divorced,Life Sciences,2,1,No
3296,18,Male,Human Resources,Recruiter,2586,0,40,No,Single,Marketing,2,4,Yes
3297,26,Male,Operations,Operations Analyst,5253,8,15,No,Divorced,Medical,4,2,No
3298,40,Female,Human Resources,Recruiter,5593,0,2,No,Divorced,Other,1,2,Yes
3299,21,Male,Human Resources,Recruiter,4020,3,11,Yes,Single,Medical,4,2,No
3300,40,Male,Operations,Coordinator,6089,0,1,Yes,Married,Medical,1,3,Yes
3301,26,Female,Operations,Coordinator,4070,0,4,Yes,Divorced,Life Sciences,4,2,No
3302,33,Female,Sales,Account Manager,6756,9,34,Yes,Divorced,Technical Degree,3,3,No
3303,46,Male,IT,System Administrator,3208,5,38,No,Married,Marketing,4,2,No
3304,51,Male,Human Resources,HR Executive,4725,2,35,Yes,Married,Medical,3,1,No
3305,26,Female,Research & Development,Data Analyst,4744,2,38,No,Single,Other,3,2,No
3306,59,Female,Human Resources,Recruiter,7155,8,22,No,Divorced,Life Sciences,4,1,No
3307,54,Female,IT,Software Engineer,6885,1,17,No,Married,Life Sciences,3,3,No
3308,36,Male,Human Resources,HR Executive,6247,9,2,No,Divorced,Marketing,1,3,No
3309,20,Female,Operations,Operations Manager,7338,2,29,Yes,Divorced,Marketing,3,1,No
3310,31,Male,Human Resources,HR Manager,3729,0,4,No,Divorced,Medical,3,1,No
3311,46,Female,Human Resources,Recruiter,4231,0,18,No,Divorced,Medical,4,4,No
3312,26,Male,Operations,Operations Analyst,5703,7,19,Yes,Married,Other,4,2,No
3313,49,Female,Sales,Sales Executive,2290,3,24,Yes,Divorced,Marketing,3,3,No
3314,47,Male,Operations,Operations Manager,7496,7,28,No,Single,Other,1,4,No
3315,49,Male,Finance,Finance Manager,5278,3,24,Yes,Married,Life Sciences,2,3,No
3316,46,Male,Finance,Accountant,4548,0,20,No,Single,Medical,1,4,No
3317,43,Female,Operations,Operations Manager,4085,4,19,No,Single,Medical,2,1,No
3318,21,Female,Finance,Finance Manager,4027,2,24,Yes,Divorced,Medical,3,3,No
3319,57,Male,Human Resources,Recruiter,4175,7,12,No,Married,Other,3,4,No
3320,31,Male,Operations,Operations Analyst,4950,4,27,No,Divorced,Other,4,4,No
3321,55,Female,Sales,Sales Representative,6405,1,4,Yes,Single,Life Sciences,1,4,No
3322,48,Female,Human Resources,Recruiter,3696,2,38,No,Divorced,Medical,2,1,No
3323,20,Female,IT,System Administrator,6658,2,3,Yes,Divorced,Life Sciences,1,4,No
3324,41,Female,Sales,Sales Representative,4876,8,7,Yes,Single,Medical,1,1,Yes
3325,21,Female,Finance,Accountant,4990,3,14,Yes,Single,Technical Degree,2,2,No
3326,60,Male,Research & Development,Research Scientist,5336,7,5,Yes,Divorced,Marketing,4,2,No
3327,24,Male,Finance,Finance Manager,5155,3,26,No,Divorced,Marketing,4,4,No
3328,18,Female,Research & Development,Data Analyst,6180,0,12,Yes,Single,Technical Degree,3,1,No
3329,27,Female,Finance,Accountant,5843,0,2,No,Married,Other,3,3,No
3330,49,Female,Operations,Operations Analyst,5608,5,29,No,Divorced,Life Sciences,4,2,No
3331,46,Female,IT,System Administrator,5493,9,20,No,Divorced,Technical Degree,3,2,No
3332,42,Female,Human Resources,Recruiter,3000,9,6,Yes,Married,Technical Degree,3,2,No
3333,30,Male,Operations,Operations Analyst,3641,3,25,No,Divorced,Other,1,2,No
3334,42,Male,Human Resources,HR Manager,3742,0,8,No,Single,Other,4,1,No
3335,60,Female,Research & Development,Research Scientist,6593,7,36,Yes,Single,Medical,3,4,No
3336,31,Female,Research & Development,Laboratory Technician,4701,6,4,Yes,Divorced,Life Sciences,4,3,No
3337,37,Female,Finance,Accountant,5899,7,4,No,Married,Marketing,4,2,No
3338,46,Female,Operations,Operations Manager,7182,9,33,No,Divorced,Life Sciences,3,4,Yes
3339,22,Female,Human Resources,Recruiter,3923,4,28,Yes,Divorced,Marketing,4,4,No
3340,44,Female,Human Resources,HR Executive,4090,3,3,Yes,Married,Life Sciences,2,4,Yes
3341,30,Male,Finance,Accountant,5321,4,3,No,Married,Medical,3,2,No
3342,45,Female,Operations,Coordinator,5938,8,7,No,Single,Life Sciences,3,4,No
3343,54,Female,Sales,Account Manager,5671,6,22,Yes,Married,Life Sciences,3,1,No
3344,38,Male,Human Resources,HR Manager,3639,3,13,Yes,Single,Other,1,3,No
3345,44,Male,Finance,Accountant,3165,0,38,Yes,Married,Medical,2,4,Yes
3346,18,Male,IT,Software Engineer,3156,0,32,No,Single,Marketing,1,1,Yes
3347,51,Female,IT,Software Engineer,5809,5,19,No,Married,Other,3,4,No
3348,48,Female,Human Resources,HR Executive,4704,8,40,Yes,Single,Life Sciences,2,3,No
3349,50,Female,Research & Development,Laboratory Technician,7602,9,1,Yes,Married,Marketing,1,3,Yes
3350,22,Female,Sales,Sales Representative,3261,1,7,Yes,Divorced,Other,2,2,No
3351,47,Male,Human Resources,HR Executive,6323,10,16,Yes,Single,Marketing,3,4,No
3352,46,Female,IT,Software Engineer,2320,0,12,No,Married,Technical Degree,2,1,No
3353,32,Female,Sales,Sales Executive,3854,5,27,Yes,Married,Other,4,1,Yes
3354,47,Female,Research & Development,Laboratory Technician,5038,4,10,No,Married,Medical,3,3,No
3355,43,Female,Operations,Operations Analyst,6401,11,30,No,Single,Life Sciences,1,2,Yes
3356,45,Male,Human Resources,HR Manager,8214,10,38,No,Married,Technical Degree,1,4,No
3357,23,Male,Sales,Sales Executive,5591,5,39,Yes,Single,Medical,4,4,No
3358,32,Female,Research & Development,Data Analyst,4552,0,18,Yes,Divorced,Other,1,3,No
3359,39,Female,Sales,Sales Representative,6402,10,38,No,Single,Medical,1,4,No
3360,32,Female,Operations,Coordinator,8031,12,12,Yes,Divorced,Marketing,2,3,No
3361,58,Male,IT,System Administrator,7303,8,10,No,Married,Life Sciences,1,1,No
3362,38,Male,Operations,Operations Analyst,2758,7,7,No,Divorced,Medical,1,3,Yes
3363,33,Male,Finance,Accountant,6436,4,16,Yes,Married,Technical Degree,4,2,No
3364,37,Female,Human Resources,HR Manager,4231,2,1,Yes,Single,Technical Degree,4,1,No
3365,46,Female,Human Resources,HR Executive,6390,1,7,No,Single,Marketing,1,2,No
3366,39,Female,Sales,Sales Executive,5939,12,37,Yes,Single,Technical Degree,2,2,No
3367,42,Female,IT,System Administrator,4683,6,39,Yes,Married,Life Sciences,4,4,No
3368,33,Female,Sales,Sales Representative,6611,8,4,Yes,Divorced,Marketing,1,1,No
3369,42,Male,IT,Software Engineer,6648,9,32,Yes,Married,Marketing,2,1,No
3370,56,Female,Sales,Account Manager,7016,17,25,No,Divorced,Marketing,3,1,No
3371,39,Female,Human Resources,HR Executive,3528,0,2,Yes,Married,Marketing,3,4,Yes
3372,29,Male,Human Resources,Recruiter,2209,0,28,Yes,Divorced,Medical,4,3,No
3373,28,Male,IT,BI Analyst,3143,1,25,No,Single,Other,1,2,No
3374,25,Male,Sales,Account Manager,5121,2,1,Yes,Divorced,Marketing,2,4,No
3375,22,Male,Sales,Account Manager,4534,3,13,No,Married,Technical Degree,1,1,No
3376,40,Male,IT,Software Engineer,5330,9,32,No,Single,Marketing,4,4,No
3377,42,Female,Finance,Financial Analyst,5438,4,37,Yes,Married,Other,1,1,No
3378,19,Female,Human Resources,Recruiter,1500,0,21,No,Married,Other,4,2,No
3379,27,Female,IT,Software Engineer,6340,7,14,Yes,Married,Medical,3,1,No
3380,60,Male,Operations,Coordinator,7689,14,23,No,Single,Technical Degree,3,2,No
3381,35,Male,Finance,Accountant,6015,9,24,No,Divorced,Medical,4,2,No
3382,49,Female,Finance,Finance Manager,7750,7,32,No,Divorced,Medical,4,3,No
3383,60,Male,IT,BI Analyst,4496,0,35,No,Married,Technical Degree,3,2,No
3384,25,Male,IT,System Administrator,6088,7,3,Yes,Divorced,Medical,3,2,Yes
3385,45,Male,Finance,Accountant,6244,12,32,Yes,Divorced,Life Sciences,2,4,No
3386,30,Male,IT,BI Analyst,5290,5,3,Yes,Divorced,Life Sciences,3,2,No
3387,53,Male,IT,System Administrator,2598,0,26,Yes,Divorced,Technical Degree,1,3,Yes
3388,39,Male,Research & Development,Laboratory Technician,5236,1,4,Yes,Divorced,Marketing,4,2,No
3389,48,Male,Finance,Accountant,6638,9,36,Yes,Married,Other,1,2,No
3390,36,Male,IT,Software Engineer,6053,9,15,No,Single,Medical,1,4,No
3391,59,Male,Sales,Sales Representative,6510,10,1,No,Divorced,Marketing,4,3,No
3392,59,Female,Finance,Accountant,5181,6,31,Yes,Divorced,Technical Degree,3,3,No
3393,47,Female,IT,Software Engineer,5494,8,9,No,Single,Marketing,2,1,No
3394,33,Female,Research & Development,Laboratory Technician,4891,9,32,Yes,Single,Other,1,3,Yes
3395,21,Female,Finance,Financial Analyst,5074,1,25,No,Married,Marketing,1,2,No
